Task_ID,HostID_In_ Match_,Rows #,HostID_IN_P,Rows #,DIFFERENCE,Results
16745,926413,58,926413,58,0,Passed
16745,38576696,1,38576696,1,0,Passed
16745,314214497,1,314214497,1,0,Passed
16745,1018309,639,1018309,639,0,Passed
16745,41098222,1,41098222,1,0,Passed
16745,1387342,4,1387342,4,0,Passed
16745,74423724,8,74423724,8,0,Passed
16745,8746125,43,8746125,43,0,Passed
16745,1084477,6,1084477,6,0,Passed
16745,946036,11,946036,11,0,Passed
16745,947125,100,947125,100,0,Passed
16745,42645261,1,42645261,1,0,Passed
16745,38815210,1,38815210,1,0,Passed
16745,948691,1,948691,1,0,Passed
16745,76510754,2,76510754,2,0,Passed
16745,1204245,26,1204245,26,0,Passed
16745,1579,1,1579,1,0,Passed
16745,1574,5,1574,5,0,Passed
16745,133633074,2,133633074,2,0,Passed
16745,38560195,1,38560195,1,0,Passed
16745,298315794,1,298315794,1,0,Passed
16745,8734734,1069,8734734,1069,0,Passed
16745,27251027,1,27251027,1,0,Passed
16745,27251025,1,27251025,1,0,Passed
16745,20415524,4,20415524,4,0,Passed
16745,1792520,16,1792520,16,0,Passed
16745,16608611,2,16608611,2,0,Passed
16745,6388394,17,6388394,17,0,Passed
16745,8744768,2,8744768,2,0,Passed
16745,6662062,14,6662062,14,0,Passed
16745,13327109,50,13327109,50,0,Passed
16745,9210876,3,9210876,3,0,Passed
16745,6439833,4,6439833,4,0,Passed
16745,56741131,21,56741131,21,0,Passed
16745,8734749,8,8734749,8,0,Passed
16745,8734747,11,8734747,11,0,Passed
16745,14953423,10,14953423,10,0,Passed
16745,8734741,1014,8734741,1014,0,Passed
16745,1740066,64,1740066,64,0,Passed
16745,7495159,2,7495159,2,0,Passed
16745,7488862,4,7488862,4,0,Passed
16745,26120222,2,26120222,2,0,Passed
16745,6277666,579,6277666,579,0,Passed
16745,1710690,1,1710690,1,0,Passed
16745,23785882,1,23785882,1,0,Passed
16745,140083334,2,140083334,2,0,Passed
16745,16540517,5,16540517,5,0,Passed
16745,1258075,10,1258075,10,0,Passed
16745,29676555,8,29676555,8,0,Passed
16745,36798510,1,36798510,1,0,Passed
16745,23227800,4,23227800,4,0,Passed
16745,8734754,1,8734754,1,0,Passed
16745,946045,3,946045,3,0,Passed
16745,8734751,642,8734751,642,0,Passed
16745,16287760,1,16287760,1,0,Passed
16745,1031393,4,1031393,4,0,Passed
16745,27461997,18,27461997,18,0,Passed
16745,298307702,2,298307702,2,0,Passed
16745,1388116,1,1388116,1,0,Passed
16745,24983347,1,24983347,1,0,Passed
16745,2454,596,2454,596,0,Passed
16745,1278741,5,1278741,5,0,Passed
16745,6391539,2,6391539,2,0,Passed
16745,6344595,912,6344595,912,0,Passed
16745,109054042,1,109054042,1,0,Passed
16745,1710686,1,1710686,1,0,Passed
16745,9211968,3,9211968,3,0,Passed
16745,56741115,921,56741115,921,0,Passed
16745,15704233,4,15704233,4,0,Passed
16745,6397050,401,6397050,401,0,Passed
16745,15704235,356,15704235,356,0,Passed
16745,1214083,18,1214083,18,0,Passed
16745,8734763,12,8734763,12,0,Passed
16745,8734760,2,8734760,2,0,Passed
16745,1209733,35,1209733,35,0,Passed
16745,236533973,29,236533973,29,0,Passed
16745,25612920,1,25612920,1,0,Passed
16745,1252362,66,1252362,66,0,Passed
16745,46408194,18,46408194,18,0,Passed
16745,14951034,2,14951034,2,0,Passed
16745,15704241,9,15704241,9,0,Passed
16745,10179429,7,10179429,7,0,Passed
16745,15704248,1,15704248,1,0,Passed
16745,926238,1,926238,1,0,Passed
16745,926479,4,926479,4,0,Passed
16745,19951673,3,19951673,3,0,Passed
16745,7350680,2,7350680,2,0,Passed
16745,26358056,1,26358056,1,0,Passed
16745,1778271,1,1778271,1,0,Passed
16745,1204032,10,1204032,10,0,Passed
16745,1209721,3,1209721,3,0,Passed
16745,56756218,4,56756218,4,0,Passed
16745,16553604,14,16553604,14,0,Passed
16745,1740290,38,1740290,38,0,Passed
16745,13326457,11,13326457,11,0,Passed
16745,38560381,942,38560381,942,0,Passed
16745,99094529,1,99094529,1,0,Passed
16745,16274485,16,16274485,16,0,Passed
16745,10175076,1,10175076,1,0,Passed
16745,15889624,14,15889624,14,0,Passed
16745,53787419,1,53787419,1,0,Passed
16745,8719152,308,8719152,308,0,Passed
16745,42908115,1,42908115,1,0,Passed
16745,6674451,985,6674451,985,0,Passed
16745,1740029,7,1740029,7,0,Passed
16745,6424142,1,6424142,1,0,Passed
16745,53924772,2,53924772,2,0,Passed
16745,7507462,1,7507462,1,0,Passed
16745,29286874,1,29286874,1,0,Passed
16745,1601295,4,1601295,4,0,Passed
16745,13326425,2,13326425,2,0,Passed
16745,7339407,24,7339407,24,0,Passed
16745,15888540,12,15888540,12,0,Passed
16745,92670892,2,92670892,2,0,Passed
16745,7427074,1,7427074,1,0,Passed
16745,11545392,1,11545392,1,0,Passed
16745,1728393,2,1728393,2,0,Passed
16745,1173,1,1173,1,0,Passed
16745,236533988,5,236533988,5,0,Passed
16745,8720155,5,8720155,5,0,Passed
16745,46409031,15,46409031,15,0,Passed
16745,46408187,9,46408187,9,0,Passed
16745,25605199,1,25605199,1,0,Passed
16745,74427202,279,74427202,279,0,Passed
16745,42065902,1,42065902,1,0,Passed
16745,278236489,3,278236489,3,0,Passed
16745,1331866,2,1331866,2,0,Passed
16745,900673,92,900673,92,0,Passed
16745,900670,664,900670,664,0,Passed
16745,929773,2,929773,2,0,Passed
16745,317433510,2,317433510,2,0,Passed
16745,6391155,274,6391155,274,0,Passed
16745,53865092,21,53865092,21,0,Passed
16745,23445066,1,23445066,1,0,Passed
16745,1279886,2,1279886,2,0,Passed
16745,10422610,2,10422610,2,0,Passed
16745,79668458,1,79668458,1,0,Passed
16745,6661124,12,6661124,12,0,Passed
16745,14975,2,14975,2,0,Passed
16745,24393191,2,24393191,2,0,Passed
16745,1369672,5,1369672,5,0,Passed
16745,16284872,4,16284872,4,0,Passed
16745,900667,2,900667,2,0,Passed
16745,56746433,7,56746433,7,0,Passed
16745,10430476,1,10430476,1,0,Passed
16745,24982636,3,24982636,3,0,Passed
16745,236534172,12,236534172,12,0,Passed
16745,47445659,1,47445659,1,0,Passed
16745,236534173,1,236534173,1,0,Passed
16745,6287847,384,6287847,384,0,Passed
16745,1465010,3,1465010,3,0,Passed
16745,19970149,1,19970149,1,0,Passed
16745,11545569,2,11545569,2,0,Passed
16745,7495325,1,7495325,1,0,Passed
16745,6591829,2,6591829,2,0,Passed
16745,1185480,14,1185480,14,0,Passed
16745,388307326,1,388307326,1,0,Passed
16745,8740326,1,8740326,1,0,Passed
16745,23089633,160,23089633,160,0,Passed
16745,7509019,4,7509019,4,0,Passed
16745,8718416,65,8718416,65,0,Passed
16745,23320375,2,23320375,2,0,Passed
16745,13303512,7,13303512,7,0,Passed
16745,26282757,10,26282757,10,0,Passed
16745,6591828,2,6591828,2,0,Passed
16745,14940736,1,14940736,1,0,Passed
16745,46409012,2,46409012,2,0,Passed
16745,900659,32,900659,32,0,Passed
16745,44707075,21,44707075,21,0,Passed
16745,29402460,13,29402460,13,0,Passed
16745,933816,4,933816,4,0,Passed
16745,25250475,22,25250475,22,0,Passed
16745,40786725,63,40786725,63,0,Passed
16745,1252389,2,1252389,2,0,Passed
16745,10334337,19,10334337,19,0,Passed
16745,17976854,45,17976854,45,0,Passed
16745,26144878,2,26144878,2,0,Passed
16745,1252387,9,1252387,9,0,Passed
16745,8743622,1,8743622,1,0,Passed
16745,7494222,814,7494222,814,0,Passed
16745,46408139,6,46408139,6,0,Passed
16745,44699574,1,44699574,1,0,Passed
16745,176004163,1,176004163,1,0,Passed
16745,109053108,1,109053108,1,0,Passed
16745,1396817,1,1396817,1,0,Passed
16745,1466325,3,1466325,3,0,Passed
16745,10428395,8,10428395,8,0,Passed
16745,1281998,8,1281998,8,0,Passed
16745,93078033,7,93078033,7,0,Passed
16745,23320399,2,23320399,2,0,Passed
16745,27500822,4,27500822,4,0,Passed
16745,1637492,1,1637492,1,0,Passed
16745,10419680,1,10419680,1,0,Passed
16745,7346599,98,7346599,98,0,Passed
16745,13309035,2,13309035,2,0,Passed
16745,26159912,33,26159912,33,0,Passed
16745,25260304,1,25260304,1,0,Passed
16745,53859699,1,53859699,1,0,Passed
16745,14938699,22,14938699,22,0,Passed
16745,14938697,2,14938697,2,0,Passed
16745,7353294,2,7353294,2,0,Passed
16745,1011368,2,1011368,2,0,Passed
16745,130989261,7,130989261,7,0,Passed
16745,14908888,5,14908888,5,0,Passed
16745,10437085,922,10437085,922,0,Passed
16745,1142715,4005,1142715,4005,0,Passed
16745,7383929,48,7383929,48,0,Passed
16745,8700747,1,8700747,1,0,Passed
16745,10334595,441,10334595,441,0,Passed
16745,97219035,3,97219035,3,0,Passed
16745,53253035,2,53253035,2,0,Passed
16745,14940772,8,14940772,8,0,Passed
16745,40050553,1,40050553,1,0,Passed
16745,7356332,1,7356332,1,0,Passed
16745,7331097,5,7331097,5,0,Passed
16745,18346746,6,18346746,6,0,Passed
16745,7488832,8,7488832,8,0,Passed
16745,297860275,1,297860275,1,0,Passed
16745,8708221,6,8708221,6,0,Passed
16745,23302921,2,23302921,2,0,Passed
16745,941242,1443,941242,1443,0,Passed
16745,919554,19,919554,19,0,Passed
16745,8708218,1,8708218,1,0,Passed
16745,46791552,41,46791552,41,0,Passed
16745,1278770,1,1278770,1,0,Passed
16745,230706589,3,230706589,3,0,Passed
16745,7495353,2,7495353,2,0,Passed
16745,79613723,1,79613723,1,0,Passed
16745,939168,13,939168,13,0,Passed
16745,8708696,1,8708696,1,0,Passed
16745,921625,1,921625,1,0,Passed
