API_Url	Response time with 1 users (Seconds)	Status Code with 1 users	No of records per user	Data Transferred per User	Timestamp
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 10&$top=10	2.69600009918	200	0	0.0001171875MB	2017-06-14 18:36:52.131000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 13&$top=10	1.55800008774	200	0	0.0001171875MB	2017-06-14 18:36:53.690000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 6&$top=10	1.57899999619	200	0	0.0001171875MB	2017-06-14 18:36:55.270000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 2&$top=10	2.71300005913	200	0	0.0001171875MB	2017-06-14 18:36:57.985000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 3&$top=10	1.95399999619	200	0	0.0001171875MB	2017-06-14 18:36:59.939000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 5&$top=10	3.32699990273	200	0	0.0001171875MB	2017-06-14 18:37:03.268000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 8&$top=10	1.94499993324	200	0	0.0001171875MB	2017-06-14 18:37:05.214000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 4&$top=10	1.42600011826	200	0	0.0001171875MB	2017-06-14 18:37:06.641000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_FDA?$count=true&$filter=FDA_LEVEL eq 7&$top=10	2.48900008202	200	0	0.0001171875MB	2017-06-14 18:37:09.131000
http://vm195w/bdna-api/odata/CAT_T_SW_LIC_ADDITIONAL_SW?$count=true&$top=10	2.05999994278	200	10	0.0051572265625MB	2017-06-14 18:37:11.192000
http://vm195w/bdna-api/odata/CAT_T_SW_LIC_ADDITIONAL_SW?$count=true&$expand=CAT_T_MANUFACTURER&$top=10	2.44599986076	200	10	0.0171806640625MB	2017-06-14 18:37:13.639000
http://vm195w/bdna-api/odata/CAT_T_SW_LIC_ADDITIONAL_SW?$count=true&$expand=CAT_T_MANUFACTURER,CAT_T_SW_PRODUCT,CAT_T_SW_EDITION&$top=10	3.83499979973	200	10	0.024078125MB	2017-06-14 18:37:17.475000
http://vm195w/bdna-api/odata/CAT_T_SW_RELEASE_LINK?$count=true&$top=10	3.12299990654	200	10	0.004333984375MB	2017-06-14 18:37:20.599000
http://vm195w/bdna-api/odata/CAT_T_SW_RELEASE_LINK?$count=true&$expand=CAT_T_SW_RELEASE&$top=10	2.85599994659	200	10	0.01059375MB	2017-06-14 18:37:23.455000
http://vm195w/bdna-api/odata/CAT_HW_MODEL_POWER?$count=true&$top=10	24.635999918	200	10	0.0116865234375MB	2017-06-14 18:37:48.092000
http://vm195w/bdna-api/odata/CAT_SW_LIC_ADDITIONAL_SW?$count=true&$top=10	2.24300003052	200	10	0.0051552734375MB	2017-06-14 18:37:50.336000
http://vm195w/bdna-api/odata/CAT_SW_LIC_ADDITIONAL_SW?$count=true&$expand=CAT_MANUFACTURER&$top=10	3.48900008202	200	10	0.0171591796875MB	2017-06-14 18:37:53.826000
http://vm195w/bdna-api/odata/CAT_SW_LIC_ADDITIONAL_SW?$count=true&$expand=CAT_MANUFACTURER,CAT_SW_PRODUCT,CAT_SW_EDITION&$top=10	34.6849999428	200	10	0.024017578125MB	2017-06-14 18:38:28.513000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$top=10	2.04400014877	200	0	0.0001083984375MB	2017-06-14 18:38:30.558000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$select=CAT_FDA_ID,FDA_PRODUCT_CLASS,FDA_PRODUCT_CODE,FDA_PRODUCT_CODE_NAME&$top=10	2.26300001144	200	0	0.00017578125MB	2017-06-14 18:38:32.822000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$filter=FDA_PRODUCT_CLASS eq 'HDE'&$top=10	1.85199999809	200	0	0.0001083984375MB	2017-06-14 18:38:46.195000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$filter=FDA_PRODUCT_CLASS eq 'Unclassified'&$top=10	1.36299991608	200	0	0.0001083984375MB	2017-06-14 18:38:47.559000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$filter=FDA_PRODUCT_CLASS eq '1'&$top=10	2.67100000381	200	0	0.0001083984375MB	2017-06-14 18:38:50.231000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$filter=FDA_PRODUCT_CLASS eq '3'&$top=10	2.05099987984	200	0	0.0001083984375MB	2017-06-14 18:38:52.283000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$filter=FDA_PRODUCT_CLASS eq 'Not%20Classified'&$top=10	3.18600010872	200	0	0.0001083984375MB	2017-06-14 18:38:55.470000
http://vm195w/bdna-api/odata/CAT_FDA?$count=true&$filter=FDA_PRODUCT_CLASS eq '2'&$top=10	1.14199995995	200	0	0.0001083984375MB	2017-06-14 18:38:56.613000
http://vm195w/bdna-api/odata/CAT_T_SW_SUITE_COMPONENT?$count=true&$top=10	3.51600003242	200	10	0.00498046875MB	2017-06-14 18:39:00.130000
http://vm195w/bdna-api/odata/CAT_T_SW_SUITE_COMPONENT?$count=true&$expand=CAT_T_SW_RELEASE,CAT_T_SW_PRODUCT,CAT_T_SW_EDITION,CAT_T_SW_VERSION_GROUP&$top=10	4.17000007629	200	10	0.020693359375MB	2017-06-14 18:39:04.301000
http://vm195w/bdna-api/odata/CAT_T_SW_SUITE_COMPONENT?$count=true&$expand=CAT_T_MANUFACTURER,CAT_T_SW_VERSION&$top=10	2.91099977493	200	10	0.0208896484375MB	2017-06-14 18:39:07.212000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$top=10	2.82399988174	200	0	0.000109375MB	2017-06-14 18:39:10.037000
http://vm195w/bdna-api/odata/CAT_GMDN?$count=true&$select=GMDN_CODE,GMDN_DEFINITION,GMDN_PREFERRED_TERM&$top=10	1.76899981499	200	0	0.0001552734375MB	2017-06-14 18:39:11.807000
