Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:55:26,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:55:26,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:55:26,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:55:50,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:55:50,BDNA_PUBLISH,PERMANENT,27,26.02,.98,96.37
2016-02-11 20:55:50,SYSAUX,PERMANENT,5.47,4.1,1.37,74.9
2016-02-11 20:55:50,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:55:50,UNDOTBS1,UNDO,6.1,.55,5.55,9.04
2016-02-11 20:55:50,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:56:50,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:56:50,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:56:50,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:57:15,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:57:15,BDNA_PUBLISH,PERMANENT,27.38,26.02,1.36,95.05
2016-02-11 20:57:15,SYSAUX,PERMANENT,5.47,4.1,1.37,74.9
2016-02-11 20:57:15,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:57:15,UNDOTBS1,UNDO,6.1,.55,5.55,9.04
2016-02-11 20:57:15,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:58:15,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:58:15,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:58:15,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 20:58:41,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 20:58:41,BDNA_PUBLISH,PERMANENT,27.38,26.02,1.36,95.05
2016-02-11 20:58:41,SYSAUX,PERMANENT,5.47,4.1,1.37,74.9
2016-02-11 20:58:41,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 20:58:41,UNDOTBS1,UNDO,6.1,.55,5.55,9.04
2016-02-11 20:58:41,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 20:59:40,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 20:59:40,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 20:59:40,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 21:00:12,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 21:00:12,BDNA_PUBLISH,PERMANENT,27.38,26.02,1.36,95.05
2016-02-11 21:00:12,SYSAUX,PERMANENT,5.47,4.1,1.37,74.9
2016-02-11 21:00:12,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 21:00:12,UNDOTBS1,UNDO,6.1,.55,5.55,9.04
2016-02-11 21:00:12,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:27:06,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:27:06,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 23:27:06,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 23:27:31,BDNA,PERMANENT,35.05,26.69,8.37,76.13
2016-02-11 23:27:31,BDNA_PUBLISH,PERMANENT,27.38,26.02,1.36,95.05
2016-02-11 23:27:31,SYSAUX,PERMANENT,5.47,4.12,1.35,75.33
2016-02-11 23:27:31,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:27:31,UNDOTBS1,UNDO,6.1,.24,5.86,3.91
2016-02-11 23:27:31,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:28:31,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:28:31,BDNA_TMP,TEMPORARY,8.37,8.37,8.36,100
2016-02-11 23:28:31,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 23:29:04,BDNA,PERMANENT,35.05,26.88,8.18,76.67
2016-02-11 23:29:04,BDNA_PUBLISH,PERMANENT,27.38,26.02,1.36,95.05
2016-02-11 23:29:04,SYSAUX,PERMANENT,5.47,4.12,1.35,75.33
2016-02-11 23:29:04,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:29:04,UNDOTBS1,UNDO,6.1,.24,5.86,3.94
2016-02-11 23:29:04,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:30:05,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:30:05,BDNA_TMP,TEMPORARY,8.37,8.37,8.36,100
2016-02-11 23:30:05,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 23:30:41,BDNA,PERMANENT,35.05,26.78,8.28,76.39
2016-02-11 23:30:41,BDNA_PUBLISH,PERMANENT,27.38,24.78,2.6,90.49
2016-02-11 23:30:41,SYSAUX,PERMANENT,5.47,4.12,1.35,75.36
2016-02-11 23:30:41,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:30:41,UNDOTBS1,UNDO,6.1,.18,5.91,3.01
2016-02-11 23:30:41,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:31:41,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:31:41,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 23:31:41,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 23:32:10,BDNA,PERMANENT,35.05,26.78,8.28,76.39
2016-02-11 23:32:10,BDNA_PUBLISH,PERMANENT,27.38,24.44,2.94,89.25
2016-02-11 23:32:10,SYSAUX,PERMANENT,5.47,4.13,1.34,75.5
2016-02-11 23:32:10,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:32:10,UNDOTBS1,UNDO,6.1,.23,5.87,3.72
2016-02-11 23:32:10,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:33:10,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,8.69,81.65
2016-02-11 23:33:10,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 23:33:10,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 23:33:42,BDNA,PERMANENT,35.05,26.78,8.28,76.39
2016-02-11 23:33:42,BDNA_PUBLISH,PERMANENT,27.38,24.57,2.81,89.73
2016-02-11 23:33:42,SYSAUX,PERMANENT,5.47,4.13,1.34,75.51
2016-02-11 23:33:42,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:33:42,UNDOTBS1,UNDO,6.1,.23,5.87,3.78
2016-02-11 23:33:42,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:34:42,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:34:42,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 23:34:42,TEMP,TEMPORARY,.19,.19,.19,100
2016-02-11 23:35:04,BDNA,PERMANENT,35.05,26.78,8.28,76.39
2016-02-11 23:35:04,BDNA_PUBLISH,PERMANENT,27.38,25.65,1.73,93.69
2016-02-11 23:35:04,SYSAUX,PERMANENT,5.47,4.13,1.34,75.51
2016-02-11 23:35:04,SYSTEM,PERMANENT,.95,.85,.1,89.68
2016-02-11 23:35:04,UNDOTBS1,UNDO,6.1,.23,5.87,3.78
2016-02-11 23:35:04,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-11 23:36:04,BDNA_PUBLISH_TMP,TEMPORARY,9.95,8.13,9.95,81.65
2016-02-11 23:36:04,BDNA_TMP,TEMPORARY,8.37,8.37,8.37,100
2016-02-11 23:36:04,TEMP,TEMPORARY,.19,.19,.19,100
