Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:52:34,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:52:34,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:52:34,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:53:19,BDNA,PERMANENT,8.2,7.88,.31,96.16
2016-02-17 20:53:19,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:53:19,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:53:19,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:53:19,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:53:19,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:54:19,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:54:19,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:54:19,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:54:30,BDNA,PERMANENT,8.68,8.42,.27,96.94
2016-02-17 20:54:30,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:54:30,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:54:30,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:54:30,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:54:30,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:55:29,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:55:29,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:55:29,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:55:40,BDNA,PERMANENT,8.68,8.42,.27,96.94
2016-02-17 20:55:40,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:55:40,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:55:40,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:55:40,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:55:40,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:56:40,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:56:40,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:56:40,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:56:52,BDNA,PERMANENT,8.68,8.42,.27,96.94
2016-02-17 20:56:52,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:56:52,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:56:52,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:56:52,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:56:52,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:57:52,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:57:52,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:57:52,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:58:04,BDNA,PERMANENT,8.68,8.42,.27,96.94
2016-02-17 20:58:04,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:58:04,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:58:04,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:58:04,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
2016-02-17 20:58:04,USERS,PERMANENT,0,0,0,33.75
Current Time,Tablespace Name,Tablespace Type,Size,Used Space,Free Space,Used %
2016-02-17 20:59:03,BDNA_PUBLISH_TMP,TEMPORARY,1.03,1.01,1.02,98.38
2016-02-17 20:59:03,BDNA_TMP,TEMPORARY,3.43,3.42,3.42,99.57
2016-02-17 20:59:03,TEMP,TEMPORARY,7.19,.2,7.18,2.77
2016-02-17 20:59:14,BDNA,PERMANENT,8.68,8.42,.27,96.94
2016-02-17 20:59:14,BDNA_PUBLISH,PERMANENT,11.61,9.78,1.83,84.2
2016-02-17 20:59:14,SYSAUX,PERMANENT,5.47,4.04,1.43,73.82
2016-02-17 20:59:14,SYSTEM,PERMANENT,.95,.85,.1,89.69
2016-02-17 20:59:14,UNDOTBS1,UNDO,13.1,2.72,10.38,20.74
